CVE,x,y,poblacion
0900500010671,-99.09868096509172,19.5040904302584,5776
0900500013089,-99.13718258381927,19.55087678759743,8133
0901600011118,-99.1989023909932,19.405267441218314,6098
090110001026A,-99.0091058204762,19.284404737200088,2090
0901000012150,-99.1932970680789,19.379268041041062,4588
0901200010731,-99.12023491584212,19.288972977362384,1730
0900900010308,-99.02924785916947,19.197639720322996,3177
0900700015126,-99.06196180611614,19.356746290810264,4853
0901200010695,-99.14918179876666,19.28957478166555,142
0901300010550,-99.0147587261051,19.254230885053023,3162
0901500010856,-99.15428945311656,19.42951579176861,2963
090070001216A,-99.06841332729034,19.3021161257959,3673
090030001093A,-99.11316067223453,19.313728593824525,1211
0901200012441,-99.15340090399552,19.23601465305099,10407
0901700010263,-99.1105082273803,19.442839497205114,1799
0900600011041,-99.11344696633265,19.386844854383988,4529
0900700011284,-99.05488476362586,19.35123870433788,1379
0900500011538,-99.07329002546356,19.483946279674203,4658
0901300010885,-99.11725270627123,19.196668318946347,1161
0901200011890,-99.18265582879835,19.29756110648709,434
090070001091A,-99.12672350306084,19.360778368082745,1444
0901300010014,-99.13711094556446,19.27758603547066,6567
0901700010846,-99.06972362006027,19.42586529440677,3052
0901700010066,-99.10670954923891,19.44879532720588,2976
0901100010147,-99.01767028981715,19.296135926465407,3155
0901500011375,-99.16097883596429,19.409806371792566,3238
0900700014306,-99.08123909353904,19.30049376399137,1814
0900200010025,-99.20060947130169,19.512498303523984,5593
0900200010788,-99.14655849851265,19.465862536217177,2450
0900700014715,-99.04462176731684,19.359876427772925,32
0900700011941,-99.09525435558105,19.317563702618397,4248
0901300011525,-99.11351179509764,19.232021184448662,1151
0900600011126,-99.11707855266832,19.396627133742438,5768
0900600010895,-99.12503419350797,19.382744249547542,2428
0900600010999,-99.06113568634576,19.389014054930836,928
0900500012076,-99.10690982983722,19.462452235075585,2946
0900500010169,-99.13429538088494,19.5444183670716,7933
0901300010419,-99.10760909201616,19.245897911592973,4481
0901500011337,-99.17396944901193,19.408722545297245,1967
0900700013346,-99.00177620468763,19.331096340462988,6680
0900500012235,-99.09488953056939,19.45720930493608,3997
0901600010162,-99.18503868939844,19.455271990993616,4905
0900300011317,-99.1106635585516,19.326879911679914,2754
0900700013793,-99.09912775541497,19.348934599628322,4417
0901000010309,-99.24571198959968,19.38093740649306,3842
0901400010045,-99.16769519199055,19.398004521336723,3480
0900600010503,-99.08238328169054,19.391961017149917,4722
0900500010525,-99.14866432084082,19.508112019682798,1550
0900500012447,-99.06085485065854,19.450999338640823,2642
0900900010492,-99.02932607905625,19.20255221348765,416
0901100011249,-99.05871161397545,19.29918689903683,5265
0900700014876,-98.99650500662324,19.336280582628703,5532
0900500011932,-99.06772673002838,19.474805200217713,3949
090170001009A,-99.09651510638552,19.44681833307229,4499
090080001032A,-99.23685588145212,19.306949238710036,5394
0901200010587,-99.12118334725918,19.29249111119728,2820
0900200010542,-99.16062991409763,19.4691073099667,6915
0900300011410,-99.13775911348631,19.311418264158174,4242
0901000010760,-99.2011819992606,19.36748602322381,841
0900500010370,-99.16587933626359,19.526544468590718,3064
0900500011218,-99.07350435029574,19.491667479209934,3646
090040001027A,-99.28640529628746,19.370745543783695,4578
0900700015573,-99.02666087625721,19.333363207909446,3451
090040001041A,-99.28100708334394,19.370598706074706,3190
0901700011219,-99.0926204732618,19.41229149287416,2419
0901300010404,-99.11110451160869,19.250019506266277,2374
0900500011557,-99.1432328461557,19.475797090216478,3663
0900700012371,-99.03286106830842,19.387854585791665,1682
0901000012201,-99.25708992257259,19.354259200833695,3148
0900500011275,-99.1185578330958,19.480826577951078,2985
090060001001A,-99.06848591719633,19.415869232228864,6014
090140001012A,-99.14420664067515,19.395188507298595,5644
0901400010098,-99.14805224006417,19.397973920279302,6213
