CVE,x,y,poblacion
00200019,20,19,1
00370020,37,20,1
00160024,16,24,1
00170011,17,11,1
00320021,32,21,1
00410047,41,47,1
00130023,13,23,1
00480038,48,38,1
00410022,41,22,1
00080048,8,48,0
00150042,15,42,1
00030047,3,47,1
00290038,29,38,1
00120045,12,45,1
00240014,24,14,1
00330002,33,2,1
00470029,47,29,1
00410029,41,29,1
00320026,32,26,1
00380004,38,4,1
00290033,29,33,1
00300047,30,47,1
00170016,17,16,1
00230037,23,37,1
00280046,28,46,1
00180041,18,41,1
00200014,20,14,1
00210003,21,3,1
00290029,29,29,1
00050005,5,5,1
00290037,29,37,1
00450022,45,22,1
00300023,30,23,1
00050006,5,6,1
00380025,38,25,1
00210031,21,31,1
00260048,26,48,1
00270011,27,11,1
00050010,5,10,1
00180011,18,11,1
00130013,13,13,1
00340021,34,21,1
00090044,9,44,1
00050035,5,35,1
00320038,32,38,1
00100030,10,30,1
00040044,4,44,1
00170020,17,20,1
00040042,4,42,1
00190003,19,3,1
00390036,39,36,1
00450019,45,19,1
00490017,49,17,1
00480022,48,22,1
00490027,49,27,1
00010039,1,39,1
00480035,48,35,1
00130046,13,46,1
00090040,9,40,1
00000028,0,28,1
00130018,13,18,1
00170021,17,21,1
00170044,17,44,1
00260039,26,39,1
00220045,22,45,1
00250032,25,32,1
00320046,32,46,1
00020032,2,32,1
00250023,25,23,1
00200002,20,2,1
00060044,6,44,1
00120002,12,2,1
00230049,23,49,1
00380047,38,47,1
00390039,39,39,1
00220019,22,19,1
00270006,27,6,1
00360038,36,38,1
00450018,45,18,1
00460041,46,41,1
00490049,49,49,1
00180003,18,3,1
00260014,26,14,1
00430048,43,48,1
00330024,33,24,1
00370042,37,42,1
00180023,18,23,1
00180005,18,5,1
00030010,3,10,1
00090041,9,41,1
00260034,26,34,1
00120039,12,39,1
00330023,33,23,1
00140030,14,30,1
00140045,14,45,1
00050038,5,38,1
00230004,23,4,1
00470005,47,5,1
00170043,17,43,1
00140034,14,34,1
00080016,8,16,1
00170039,17,39,1
00280004,28,4,1
00140004,14,4,1
00040009,4,9,1
00220002,22,2,1
00200016,20,16,1
00300003,30,3,1
00420006,42,6,1
00060010,6,10,1
00180032,18,32,1
00160037,16,37,1
00210026,21,26,1
00120000,12,0,1
00050002,5,2,1
00050015,5,15,1
00430011,43,11,1
00040011,4,11,1
00180018,18,18,1
00230028,23,28,1
00160039,16,39,1
00290010,29,10,1
00450003,45,3,1
00160029,16,29,1
00210030,21,30,1
00030019,3,19,1
00200021,20,21,1
00190007,19,7,1
00190031,19,31,1
00100045,10,45,1
00220046,22,46,1
00370007,37,7,1
00010018,1,18,1
00290008,29,8,1
00250004,25,4,1
00350023,35,23,1
00370019,37,19,1
00060011,6,11,1
00280009,28,9,1
00460049,46,49,1
00400045,40,45,1
00330028,33,28,1
00110048,11,48,1
00150025,15,25,1
00170035,17,35,1
00000032,0,32,1
00440026,44,26,1
00430043,43,43,1
00080034,8,34,1
00060030,6,30,1
00310042,31,42,1
00490047,49,47,1
00230023,23,23,1
00040048,4,48,1
00020014,2,14,1
00050016,5,16,1
00130017,13,17,1
00280003,28,3,1
00390031,39,31,1
00090012,9,12,1
00410032,41,32,1
00050017,5,17,1
00410027,41,27,1
00400012,40,12,0
00150006,15,6,1
00210014,21,14,1
00140003,14,3,1
00220009,22,9,1
00310041,31,41,1
00380039,38,39,1
00400035,40,35,1
00250002,25,2,1
00250041,25,41,1
00000045,0,45,1
00030045,3,45,1
00350012,35,12,1
00470026,47,26,1
00270038,27,38,1
00330032,33,32,1
00460016,46,16,1
00180021,18,21,1
00200009,20,9,1
00330039,33,39,1
00270043,27,43,1
00240037,24,37,1
00000044,0,44,1
00070010,7,10,1
00000009,0,9,1
00110030,11,30,1
00120008,12,8,1
00100001,10,1,1
00080030,8,30,1
00360049,36,49,1
00240041,24,41,1
00470006,47,6,1
00470035,47,35,1
00480041,48,41,1
00140012,14,12,1
00340044,34,44,1
00180048,18,48,1
00190045,19,45,1
00190034,19,34,1
00360002,36,2,1
00160002,16,2,1
00030039,3,39,1
00310035,31,35,1
00170033,17,33,1
00330031,33,31,1
00360035,36,35,1
00420016,42,16,1
00060049,6,49,1
00120021,12,21,1
00270033,27,33,1
00390007,39,7,1
00480033,48,33,1
00030005,3,5,1
00370033,37,33,1
00450020,45,20,1
00430003,43,3,1
00180004,18,4,1
00190019,19,19,1
00380006,38,6,1
00070018,7,18,1
00310040,31,40,1
00370038,37,38,1
00010033,1,33,1
00420023,42,23,1
00030036,3,36,1
00110040,11,40,1
00480007,48,7,1
00410024,41,24,1
00020010,2,10,1
00140001,14,1,1
00150001,15,1,1
00010041,1,41,1
00150008,15,8,1
00350033,35,33,1
00460014,46,14,1
00180001,18,1,1
00460048,46,48,1
00090020,9,20,1
00290020,29,20,1
00260003,26,3,1
00290013,29,13,1
00420048,42,48,1
00180044,18,44,1
00140022,14,22,1
00010022,1,22,1
00060028,6,28,1
00060029,6,29,1
00390024,39,24,1
00240009,24,9,1
00380034,38,34,1
00040015,4,15,1
00460018,46,18,1
00460023,46,23,1
00330048,33,48,1
00250034,25,34,1
00430032,43,32,1
00220032,22,32,1
00210039,21,39,1
00260036,26,36,1
00280049,28,49,1
00330044,33,44,1
00240031,24,31,1
00010000,1,0,1
00340008,34,8,1
00310009,31,9,1
00150010,15,10,1
00290017,29,17,1
00280023,28,23,1
00290006,29,6,1
00150043,15,43,1
00200047,20,47,1
00380042,38,42,1
00070015,7,15,1
00160005,16,5,1
00350015,35,15,1
00010014,1,14,1
00340041,34,41,1
00450010,45,10,1
00000043,0,43,1
00080037,8,37,1
00420017,42,17,1
00030043,3,43,1
00360004,36,4,1
00390035,39,35,1
00400010,40,10,1
00410043,41,43,1
00070006,7,6,1
00370009,37,9,1
00270018,27,18,1
00100014,10,14,1
00270029,27,29,1
00190015,19,15,1
00190026,19,26,1
00490034,49,34,1
00450039,45,39,1
00330008,33,8,1
00360032,36,32,1
00360037,36,37,1
00100038,10,38,1
00130028,13,28,1
00170032,17,32,1
00020026,2,26,1
00200033,20,33,1
00130027,13,27,1
00230000,23,0,1
00260042,26,42,1
00290025,29,25,1
00050048,5,48,1
00280047,28,47,1
00330046,33,46,1
00460031,46,31,1
00350000,35,0,1
00490002,49,2,1
00490028,49,28,1
00220015,22,15,1
00370002,37,2,1
00190039,19,39,1
00360026,36,26,1
00290040,29,40,1
00390029,39,29,1
00260038,26,38,0
00160033,16,33,1
00470008,47,8,1
00300007,30,7,1
00260016,26,16,1
00470044,47,44,1
00370014,37,14,1
00030034,3,34,1
00160012,16,12,1
00310013,31,13,1
00040039,4,39,1
00340013,34,13,1
00280007,28,7,1
00110025,11,25,1
00340001,34,1,1
00410000,41,0,1
00440039,44,39,1
00440045,44,45,1
00450028,45,28,1
00090010,9,10,1
00130020,13,20,1
00150029,15,29,1
00360040,36,40,1
00490007,49,7,1
00150037,15,37,1
00160004,16,4,1
00160017,16,17,1
00300029,30,29,1
00250029,25,29,1
00130007,13,7,1
00260021,26,21,1
00170022,17,22,1
00140006,14,6,1
00130042,13,42,1
00000023,0,23,1
00260043,26,43,1
00300006,30,6,1
00210023,21,23,1
00320029,32,29,1
00330022,33,22,1
00260010,26,10,1
00000003,0,3,1
00070036,7,36,1
00180020,18,20,1
00220031,22,31,1
00310046,31,46,1
00180002,18,2,1
00270040,27,40,1
00370028,37,28,1
00410014,41,14,1
00430017,43,17,1
00440030,44,30,1
00040021,4,21,1
00220042,22,42,1
00070025,7,25,1
00140037,14,37,1
00080041,8,41,1
00420028,42,28,1
00470032,47,32,1
00130044,13,44,1
00310033,31,33,1
00090047,9,47,1
00400001,40,1,1
00230041,23,41,1
00370034,37,34,1
00150036,15,36,1
00160042,16,42,1
00220023,22,23,1
00340038,34,38,1
00340026,34,26,1
00090003,9,3,1
00300016,30,16,1
00460022,46,22,1
00000036,0,36,1
00230009,23,9,0
00030003,3,3,1
00230003,23,3,1
00310016,31,16,1
00160032,16,32,1
00430041,43,41,1
00430014,43,14,1
00000015,0,15,1
00350041,35,41,1
00120004,12,4,1
00220024,22,24,1
00360027,36,27,1
00020022,2,22,1
00060047,6,47,1
00000030,0,30,1
00000014,0,14,1
00050030,5,30,1
00100031,10,31,1
00200006,20,6,1
00230027,23,27,1
00240035,24,35,1
00240045,24,45,1
00190016,19,16,1
00400024,40,24,1
00420012,42,12,1
00010015,1,15,1
00240017,24,17,1
00280017,28,17,1
00310037,31,37,1
00340025,34,25,1
00430010,43,10,1
00430033,43,33,1
00040040,4,40,1
00490004,49,4,1
00360030,36,30,1
00450048,45,48,1
00450044,45,44,1
00340006,34,6,1
00210007,21,7,1
00130011,13,11,1
00010037,1,37,1
00270008,27,8,1
00380045,38,45,1
00120024,12,24,1
00010042,1,42,1
00390014,39,14,1
00480028,48,28,1
00130010,13,10,1
00420036,42,36,1
00010038,1,38,1
00380010,38,10,0
00020030,2,30,1
00280036,28,36,1
00390037,39,37,1
